HDI,EGD,CO2,GDP,NRP
0.435,79.86,0.223479126,0.223063776,2.018394344
0.445,80.25,0.216910373,0.223229847,1.886446102
0.456,79.58,0.227478687,0.251170357,1.878204886
0.466,81.32,0.209154939,0.301581914,1.775773692
0.475,80.5,0.216851268,0.416600432,1.581462379
0.461,85.62,0.163014237,0.653866,1.396412005
0.497,85.77,0.150382011,0.752944036,0.897077902
0.506,84.93,0.164631248,1.003033455,0.798804208
0.517,84.08,0.174575428,1.204496472,0.736146335
0.526,78.46,0.23824039,1.193547649,0.595623958
0.538,75.96,0.26837013,1.189964765,0.585283366
0.548,72.43,0.333541952,1.281438718,0.788242876
0.557,70.43,0.36970746,1.159340201,0.661317909
0.567,69.25,0.421272122,1.218217034,0.681087217
0.58,59.92,0.6214961,1.263285263,0.782010372
0.595,59.85,0.622498221,1.288418087,0.670278022
0.608,58.89,0.640928811,1.415379676,0.588188183
0.615,59.75,0.634080348,1.479613689,0.466301427
